用户ID,用户名,用户评论数,注册时间,用户平均评分
TUR21jv1-_GCwmeO3ouOBg,Sam,362,2009-07-11 06:06:23,4.02
OrnQ04JCGie8Q2ymFF97FA,Michael,1081,2010-01-11 20:36:35,3.93
w0Eb3PnZFiyQdWqXYKnx3A,Schuyler,510,2009-11-22 04:25:04,3.98
nnImk681KaRqUVHlSfZjGQ,Carlos,1107,2006-07-18 20:46:04,3.96
QuZbJquRtbY9O9JrB9NpxQ,Jim,1732,2007-07-07 11:46:47,3.63
_OOCtlUhIp94w3wZf8-6cA,Joseph,54,2008-08-14 18:09:16,3.63
KxGeqg5ccByhaZfQRI4Nnw,Ken,966,2010-05-02 19:28:22,4.04
7Swyec_XWQUSuPWDdfMiug,Brian,73,2008-12-31 16:42:13,3.91
_JzvB98ppovharKXQ0B0TQ,Jen,41,2009-08-24 21:13:55,4.44
AbMjnKOwg736fcIu8apuyQ,Michael,3133,2010-05-16 19:27:37,3.69
3CwMwbY9UgP-qvTDxNs_0g,Michele,1374,2009-07-29 19:31:49,3.82
0du93EkEwKuxRG_x6hqVUg,Lyndi,208,2011-03-21 19:41:42,4.1
JTqQ9C9S2Qc8_aHtO1965g,Ann,488,2007-11-14 14:28:12,3.59
ALWSjow1qxW4SFFZ0ZNB6Q,Jeremy,94,2008-08-19 15:55:01,3.72
DwIetk5y9m6AypCjPux6RQ,Maria,233,2011-11-28 15:50:41,4.24
D4un9kv2gb3jaPDS7NMELg,Amanda,398,2009-08-20 04:20:24,3.77
ic5a0ViLmWRHBQ0RpyicEg,Amanda,90,2011-02-18 07:14:45,3.71
Qaye2ONLtDqIdFpuLqq77A,Taj,289,2008-06-22 20:19:33,3.96
4hj-rUKdY20Un_h37RptjQ,Jeff,532,2007-08-22 20:19:36,3.28
Oi1qbcz2m2SnwUeztGYcnQ,Steven,1371,2010-03-19 16:40:37,3.62
x1_sp_rHxZtI8VLX_IF5cw,Lulu,72,2010-08-25 03:02:32,3.42
mjOKUSdIqxFPSYMB-MmS9g,Greshka,1176,2007-09-13 17:02:42,4.21
z33x0fHD8gutPy5Gv6Hwpw,Angela,484,2007-03-01 19:06:28,3.97
jt49xjEjQisu6wTTGn6B3A,Annette,1951,2010-07-01 22:09:09,4.29
Tvegk5s428x5XwFZcTQypg,Ally,125,2009-02-25 14:55:22,3.36
qFYTvzTuZLL7bwrPCZaiAg,Matthew,15,2011-07-24 01:29:07,3.47
XbyKDPoPD5TWOa8_5Gijxg,T. Viv,33,2010-05-13 00:37:33,4.42
JD7L3z31GmOuVsRRPyqdFQ,Brian,1900,2006-08-30 13:56:11,3.71
oXHd9HUOGd9Lk_3nUNDYVA,Tom,188,2008-10-04 19:38:00,3.64
lvfHxioG1mJZ8CNc-RYKOw,Jason,74,2007-05-17 14:54:59,3.51
toQe9adQWV7iC7KM_eugsA,Sarah,210,2010-04-22 06:45:06,3.7
ZgYe5NVwIK78LAU_if3KfA,Adryenn,215,2008-06-27 19:05:05,4.16
H8evlZitNdbCar4jqG_lZw,Angela,143,2010-12-21 21:09:19,3.82
oSeE_p_gYxI82APPWJhJjg,Jim,324,2008-01-08 01:55:03,2.7
NvUeb5G_mSSxgKhEE_Hueg,Jocy,1503,2008-03-10 19:58:50,4.21
nzsv-p1O8gCfP3XijfQrIw,Anita,4157,2005-04-12 03:08:20,3.46
oAhoFRRKomodbIx8jtKmKA,Kerry,277,2011-03-08 21:40:56,4.09
qI3uzegMdq3q3WxAajECGw,Tara,961,2009-08-11 15:58:37,3.89
6bVqgocLbgPxTFEpGl0j7Q,Ben,40,2010-07-29 15:07:54,3.5
cPcStFGBlk-6lWWsttIfVQ,Ee Vonn,2280,2009-11-08 17:32:55,3.63
u-u8vyXgSSQSA_K6rvrZjA,Alyssa,395,2010-07-20 14:02:53,3.76
h3KpLypa9SZEw2ydFNC19Q,Alvin,783,2010-06-07 19:55:05,3.59
T9AtZPYC4W81rylyvOOmQQ,David,345,2009-02-28 23:26:19,3.34
U0vzuP_b7vwX8OnLkXaQFQ,Derrick,220,2010-09-06 14:55:16,3.61
YSfAlm6XNaym-JOrRjv3Tg,Kathleen,1627,2006-12-27 21:19:25,3.7
xsQyTGdGwM8k3Ns3miYgGQ,Erin,133,2011-03-23 14:52:31,3.8
Amc7J0F3KeAKzOOQrlpqog,Lesley,1229,2009-09-26 20:53:18,4.08
rvkVh-FNvg2fYSgHjG4mkQ,Joe,547,2009-07-17 05:06:37,4.18
7tIaG0p7viFi0QNIgkqCyg,Lotsh,190,2010-03-17 01:46:48,3.23
mJCK1qpsCkKePozYIrIT-g,Mac,1049,2009-01-05 14:42:17,3.72
SIpBqzGhRM7T5cDFiuIryg,Jason,673,2009-02-02 00:37:54,4.38
1pzP58PeWictHQzctMU0nQ,Misty,1393,2009-04-04 21:48:40,4.14
XFjHkHBtjGRV_EvJbuA8Kw,Jason,80,2009-10-19 18:00:50,3.41
cJduyV83k6YV2_skUsjJWQ,Allie,127,2011-01-09 16:04:25,3.85
UvSOYVwqwyzNr40AU1t6Yw,Gloria,1096,2009-06-28 18:34:22,3.43
2jHXlagPsLtmRi4Nsr49LA,Karen,430,2009-07-18 12:49:27,3.59
MqDgSw9wZFsaFFPRKh-k8A,Tommy,631,2010-06-28 23:46:49,3.73
t6UhGYIw-pQH3La-xy-E-g,Benjamin,199,2009-12-26 06:15:09,3.9
4YUabV9xHtvtxw2BLfl1AQ,Erika,190,2009-02-22 18:59:19,3.35
ABy_uGiyQ7zlndwnodvFaw,Maria,420,2009-09-30 20:27:26,3.73
90anotHbC638MaU1C15dTA,Rose Leah,130,2011-09-30 02:20:03,4.15
ei8X5pyCur3d0CGb5EbnFA,Meg,289,2006-12-11 01:33:48,3.53
mGiCgX3nS5i6rFDPg2bIdQ,Jason,246,2010-05-23 03:03:39,3.6
PLOYtrCMUFPHQe2IbYAd5g,Joanna,2956,2011-01-09 22:07:45,3.69
wqghLqYOmlJHa_EEV45z3g,Dorothy,187,2008-11-23 16:52:11,3.49
JKIkdVqAJLEXTq92gF98bA,Mike,1381,2009-01-25 02:01:40,3.57
GevrFd8ojonAr4fEQB9WfA,Callan,365,2008-03-06 03:30:59,3.72
axWj8EDMZVGWuSALogXmyQ,Devina,185,2011-05-17 02:07:26,3.79
p4dved0OUoh-lKaXSTdCXA,Minh-An,1078,2011-07-24 22:22:48,3.8
vVYhAa0P2RfpWPQBrlztJg,Janice,113,2009-08-05 14:25:32,3.25
8VNmuYmFboXleIFf-stnFg,Todd,487,2010-12-26 21:52:04,3.92
siySF-a6qsxltWWQtIq_nQ,Andrea,171,2011-03-23 23:50:39,4.32
hdLToS_AFNyqUzzcZI7UXw,D,187,2008-06-10 04:02:18,3.9
emkgr9xghy66fU58fwnRgQ,Amy,330,2010-12-10 15:29:44,3.88
-8EnCioUmDygAbsYZmTeRQ,Mimi,1568,2011-03-30 01:22:12,4.14
DejbySADs66NO3RMAuzBIw,huong,133,2009-09-04 07:16:57,3.7
dYCmh8rJl_ZkC_mt70ZDhQ,Johnny,558,2009-01-20 09:32:25,3.78
Tm3SdDX5fa8O6NN-tciSkA,Sahar,607,2007-03-12 19:52:37,3.98
AF2wygvqImI9gbFijr13rw,Jessica,231,2009-05-21 16:19:42,4.05
Pk-dihlvXRaVfE65ghVOLA,LJ,318,2009-12-30 18:45:47,4.32
bslOvFExlhVCaIIxh1PCTQ,liza,153,2009-08-13 13:21:28,3.75
pTvR_xN-sWY5-jakTKw1ag,Lisa,92,2009-09-10 18:03:03,4.24
VEj1OuO6QrQMXFhuMZJ8cQ,Ettya,705,2011-03-16 14:44:46,4.25
TR7ezcRznfr1Jif7euZZJg,Marlyn,794,2008-11-21 23:55:46,3.87
lgUKLRsqvhu4DbM9syzq_Q,Rebecca,388,2010-03-22 18:25:01,3.88
iT1AA74QFn_a0Xq9-ggSGA,John L.,2017,2010-07-16 20:51:51,3.72
-x1516ZG5GllZiBjDQlRkA,Rachel,1526,2006-12-19 21:49:11,3.85
H2DNqyt2CR5a8Gv3Jisqhg,Sharee,665,2009-05-11 16:01:18,3.91
Y-4RCXXrQ8hS5bR5uTp48Q,Emmett,165,2010-03-03 18:42:56,3.87
aHJ8Jqbadtw-ASIEYmYe6A,Soyoung,133,2008-02-11 22:35:21,4.25
FBWkscr1BVNANlgODRLAyg,Alana,85,2008-05-14 22:13:06,3.78
_DM-V9mNI3_R5KFSm5ELwQ,Robert,88,2008-03-20 20:21:09,3.47
Hxx8FmhpxiugIrGRh8RDOg,Tom,754,2010-02-15 20:54:20,3.83
Vwslifegl59fQVOe5BH1gw,Brittany,550,2010-11-12 02:57:46,3.96
sh3V6hnNMLVV9YwFA9QNaw,Virginia,895,2009-04-14 19:35:37,3.5
-SigNCNItQDtSq27j0t_tw,Chris,199,2008-08-04 16:44:10,3.83
6ObFF8-uKnOAlXuSH4TlyQ,Isabella,1245,2011-02-06 18:09:09,4.33
iPkdNziqnhNukjnmsrSzmg,Kelly,974,2008-06-13 20:02:50,3.9
8drMKNHWavs2g6uf0pLtvg,Charlene,1823,2010-10-15 18:01:16,3.79
X1nvKXUJ5Lp3W9Oe-_JrMQ,Marissa,451,2009-04-23 16:18:47,4.01
KDz7BjsuBjAxBw2gF3KFQA,Salma,236,2011-12-27 05:37:03,4.16
yfn0_Hwre2fFgXimJzWbSg,Eliza,257,2011-07-28 16:16:45,3.85
BmThnFPDalpbC1x98aXKaw,Heather L,233,2008-01-08 20:21:16,3.58
EVlNHC3J1Y46LN4fkTwfvA,Lexy,197,2008-09-18 19:27:46,4.04
IkRib6Xs91PPW7pon7VVig,Jenny,128,2008-08-18 12:35:48,3.96
5diFcJgs6UvIAV39W8BnDw,Todd,274,2007-02-02 01:08:50,3.46
yFOhA0a7toBwUffjC68FrA,Karlie,412,2010-06-22 01:49:42,3.6
-rBPL3ntdbLnTw3uwZLfQw,Heather,342,2011-03-11 16:54:31,4.35
yxwkSzB1CNeJHlDvDPpNFA,Morgan,48,2011-04-24 11:05:51,3.67
XhXkdGzInaBCz8q54o_1eg,Frank,11,2010-02-13 22:08:26,4.33
4ZfcCa4m5RWvO4EFzfYm1A,Eli,1290,2007-11-05 06:02:41,3.4
wzyGNvArcpUjZauRWFrKHA,Bill,2512,2011-05-15 22:26:08,3.57
W-JDo8XXO14z7xTde7ggAw,Sarah,326,2007-08-09 16:26:13,3.56
W83aZrDrYKwycCHB_eOYYg,Victoria,1024,2012-08-20 15:56:43,4.08
_cUtxCvCccwgNJzD5I0cDA,Kyle,1837,2006-12-22 17:51:07,3.93
B5RcWUztezeNkW-_ujqViQ,Janene,1434,2008-06-11 22:18:04,3.52
YvzCq_EdYWPndsi11ayAJA,Allen,26,2008-07-23 04:54:45,4.15
Fht_w918uBp3vNNlgVh0YA,Mike,26,2007-04-19 21:55:06,3.96
58yXn5Y4409kc9q88YwU6w,Kimi,1761,2007-05-15 20:28:33,4.17
7ktyPHE-NGnWxarOqjIQiQ,Chris,416,2009-03-02 00:58:09,3.92
U-blmCm_qUbibUUgqDSB_g,Juan,2814,2010-09-20 06:51:30,3.71
V7wu2LMjiLDBY8vuGpELoQ,Andrew,66,2011-01-12 01:01:15,3.81
ZdODEy4O0-nPdPKwkdQkdw,Dana,377,2009-10-22 21:33:35,3.89
_ntA5HPDzqBgwg7S3s7w7Q,Sabrina,848,2008-03-15 11:18:32,3.93
Slc16vviuuTWgZ9OsaJzKQ,Kamilah,213,2010-01-15 13:22:17,3.61
NRRPUnrCEIjDSt4uGV-rSw,Christine,292,2007-08-17 00:36:11,3.97
y8aWXOimQ9ZgUgZ6q--nCQ,Carrie,472,2007-11-07 15:25:43,3.93
ncvgNeEsAIAuMWYFN2blhg,Tony,647,2011-02-21 22:21:48,3.71
tUVprgEsy_yIdq7nt2JtlQ,Danielle,72,2011-08-30 14:00:11,4.21
L-5NjRMaE5KClXYJk8HVcA,david,122,2006-10-18 09:53:31,4.09
DvP8pq7QzV11_0968ahxMQ,Enid,144,2011-02-25 14:35:47,3.82
gFVLJRSTeHIQs97vIVGI-g,Glenn,671,2011-10-22 03:34:01,3.88
SGPscai169s5QLriYf0_jQ,Allie,109,2010-01-26 17:51:52,3.56
KVN1eio-4QU3zlkPmZHRFQ,Jemmie,625,2010-07-24 01:14:54,4.04
CV8aQ9nTu4_1yKtd2D38hA,Jake,225,2006-12-20 09:03:41,3.28
CllLV_3SQcG6m-oE9JoDFQ,Leena,60,2010-06-30 18:08:22,3.91
