用户ID,商家ID,评分,评语,评论时间
-7qUbOVWJp2NT3f_TNuIBA,WSx9-iYYyST_umny9sJBFg,5.0,"(Note: written on take-out only experience during COVID-19 social distancing measures.) 

I went to The Parish years ago for a friend's birthday and remembered enjoying it a lot, and had been meaning to go back for ages. Obviously, the current shut-down of dining in at restaurants put a wrench in that plan, but last night I ordered take-out to treat my parents (one of whom is a hospital worker) to a socially-distant but delicious meal. 

I'm in what I've taken to calling ""quaranTREAT YO SELF"" mode, so I went all in on multiple appetizers along with my dinner. The Hushpuppies are perfect -- slightly sweet, buttery, balls of absolute happiness. The dipping sauce that comes with them is great as well and provides a slightly herbacious tang. The Black & Blue Brussels are delicious as well! The glaze on them is a lovely blend of sweet and subtly spicy, and the candied pecans provide little crunchy nuggets of additional sweetness. 

For my entree, I got the Drunken Angel (angel hair with crawfish and shrimp in a saffron red pepper cream sauce). It's so rich and satisfying! I particularly enjoyed the way the flavors came together when sopping up the sauce with some garlic bread. My parents ordered the Smokin' Angel (angel hair with spinach, goat cheese, and garlic in a smoked tomato sauce) and the Shrimp & Grits (shrimp in Creole BBQ sauce on white cheddar grits with greens). Though I wasn't able to try their dishes, both enjoyed their meal a great deal. Both enthusiastically praised the bright, bold flavors and hearty portions. We all agreed that we'd love to dine in with them as soon as we're able! 

On top of the great food, I really appreciate what they're doing to support the community during this time with discounts for a number of groups including healthcare workers, first responders, grocery-store workers, and more. They will definitely have my continued patronage!

(Note #2: I don't have any photos because I didn't feel like a take-out container is a fair representation of how their dishes would usually look.)",2020-03-30 20:29:34
-7qUbOVWJp2NT3f_TNuIBA,tlmxMUrk9xRvYzH0xo1Olg,5.0,"Wow -- one visit was enough to make me a Kiwami Ramen devotee! 

I got the Kiwami Kuro, which is their signature pork broth ramen with black garlic oil. The ramen has pork char siu, egg, mushrooms, bamboo, bean sprouts, scallions, and, of course, noodles. The broth is intensely rich and flavorful, but still light enough to sip without feeling greasy or heavy. The pork is also very well-seasoned and tender, which I enjoyed a lot. I thought it was some the best in-ramen pork I've had!

Along with the various ramens, they also have rice bowls and poke, both of which I plan to try soon. For appetizers, they offer steam buns, gyoza, takoyaki, and more. 

I also like that they have a drive-through! It's a unique bonus feature that feels ideal for social distancing.",2021-01-02 20:20:31
-7z82JPvUm5mVs3u3kiCeQ,dYYkzkiAQoOtRjdR0kcspw,5.0,"This is without question the best brewery in Nashville. We did our best brewery crawl, and TBW was by far and a away the best spot. They use local ingredients to make sure their beers are representative of Tennessee. Also, the food is amazing. Just like the ingredient for beer, they make sure the food is locally sourced and delicious.",2016-10-11 00:50:41
-8EnCioUmDygAbsYZmTeRQ,QBNATcq7Stx9LxcSq16W7w,4.0,"Very lovely and cozy place next to a museum in downtown Santa Barbara. It is actually among many other wine tasting rooms in that little alley. This one is out in the front, very easy to spot.

There was this little cute dog in there, she is unbelievably adorable! It was amazing she doesn't run out at all, just stands at the front door and ppl watching, very well trained dog, so lovely!

Mostly they have red tastings, I can't drink red wines, so I just ordered a glass of white, hubby had two whites and two reds tasting. We sat at the sofa bench in the corner, so relaxing in a late afternoon. We enjoyed our wine tasting time so much, I picked a candle too, it smells so nice, I am loving it. 

A pleasant wine tasting experience, I especially loved how they made a tasting room look like a home, it makes ppl just want to spend so much time there to try different kind of wines. Too bad I am not a fan of wines, or I would have stayed longer and tried more wines. 

Ps. They wave the $15 tasting fee if you purchase 2 bottles of wines, or remember to check in on yelp for 5% off one single purchase!",2015-10-15 08:04:05
-8EnCioUmDygAbsYZmTeRQ,tthy48ZIX_wfY8Dy0Dvg6w,5.0,"A little drama coming here for our birthday dinner, our reservation was canceled after I called to confirm in the afternoon, said something went wrong on open table. But they finally managed to squeeze us in anyways, handled it very professionally, great job! 

A small French restaurant, the seatings were really cramped, but our corner booth was kind of private. Brought our own Moet champagne, they waved cork and cake cutting fee as the nice gesture to make it up for messing up the reservation. Well technically it wasn't entirely their fault. Menu was simple and neat, very easy to order. A few bottles of Badoit sparking water to sip on while deciding on what to eat. 

For starters we shared special tomato salad, French onion bread bowl soup, two orders of crab cakes and Pan seared foie gras. Crab cakes were one of the best, we all loved it. Tomato salad was very fresh and tasty. Only hubby loved that savory foie gras, it melted in his mouth right away, so soft and buttery. Chef made us something like crostini with goat cheese and fruit on it, they were very yummy. 

For entrees we had ribeye in medium rare and rare plus, Mary's chicken with risotto, sea bass with shrimps and yellowfin tuna in rare. Ribeye was cooked to perfection, especially hubby's rare plus, the sauce was bomb. My tuna was so fresh and light, loved the olives in it. Sister loved her chicken, just the risotto was a bit salty. Parents didn't like the sea bass too much, said it was a bit hard and bland. I had a few bites, I liked it for some reason. 

Food portions were pretty big for French food, prices were fair. The service was over the top, our server was very friendly and attentive. We had our own birthday cake as dessert to end the pleasant birthday dinner. 

Everything was PERFECT, we enjoyed this family dining experience so much!",2016-09-07 22:07:36
-8HoPzdMhM1p3Px8tSxnZQ,oBNrLz4EDhiscSlbOl8uAw,5.0,"FOR EVERY MINUTE YOU WAIT, IT IS WORTH EVERY BITE YOU TAKE.
That should be the motto for Ruby Slipper Cafe.

A recommendation from my good friend Gina P. from Yelp Fort Lauderdale that Ruby Slippers Cafe is the BEST breakfast place in the French Quarter, but beware of long lines!!!  She was right on both fronts!!!

Regarding the line,  my wife and I had learned once we got to the hostess stand which is just right in the doorway for the restaurant with a lovely, patient hostess, that you can either put your name in at the door or use the Yelp App to put your name in and track where you are in line to be seated.  We put our name in with the hostess and used the Yelp App to track where we were in line to get seated.

As we were waiting I had a chance to look inside.  Plenty of seating, but quite the busy place. A large U shaped breakfast bar in the middle, surrounded by 2 top tables on the left and a larger dining room to the right of the bar with 4 top tables and booths. There is also outdoor seating in the front and side of the restaurant. 

After looking at the menu, and seeing the great breakfast dishes all around me, I can definitely see what all the hype is all about. People were PATIENTLY waiting outside like this was ""the attraction"". And it certainly was.

When our name was called, we thankfully got seated a the breakfast bar which I preferred.  There is a lot to see sitting there and recommend it if you can wait for that.  We were greeted by our vibrant and friendly server, Nicole C. (she never gave us her last name) when I asked.  We immediately knew she was from the midwest and had some fun with that when talking to her.

Coffee Anyone?  Here, like many places in New Orleans, they have the BEST coffee.  We had to have the NOLA roasted coffee which was served in the special Ruby Slippers red Coffee Mugs.  Delicious.

Just looking at the Specials for the day posted on the Specials Board,  which included Spiced Pumpkin Pancakes and Nutella & Raspberry French Toast and looking at the menu, this was going to be a tough choice.  The choices of 7 different ""Eggs Traodianary"" Eggs Benedict dishes and ""Momma can't make this"" Specialties alone had my head spinning.  At least my wife was with me so we could both order something different and share.  

It was no surprise that she ordered the Spiced Pumpkin Pancakes. There was no doubt that I was going to choose one of the Benedict dishes, but I was torn between Chicken St. Charles and the Eggs Cochin. Of course, Ruby Slippers had a dish called THE PEACEMAKER, which definitely gave me a piece of mind to be able to get combo of both dishes. The Chicken St. Charles is one of the most popular dishes here; Fried Chicken breast over a buttermilk biscuit topped with 2 poached eggs and a delicious sauce to top it off.  The chicken was a tender chicken breast, definitely fried Southern Style.  Juicy and tender and that Buttermilk Biscuit, well, let's just say, you would remember it after leaving here. The reason for the Eggs Cochin?  I love pulled pork, and to have that on top of the buttermilk biscuit served Benedict style with Hollandaise put me in Heaven. Between the 2 of these, I was in ""food mode"", for sure. 

My wife's portion of Spiced Pumpkin Pancakes was HUGE, thankfully, topped with a powdered sugar and some special sauce drizzled on top. Amazing amazing, amazing.  I could smell the Pumpkin as soon as Nicole put it down in front of us. 

The menu choices on the Momma Specials can also make your head spin, but as I learned from a gentleman sitting beside me, they have a dish called the Trifecta which allows you to combine 3 of he dishes.  Clever for a menu like this to offer that. Every dish is better than the next and to be able to try 2 of the Benedict dishes or 3 of the Specials is a smart option.

For every minute you wait, it is worth every bite you take here.  The atmosphere is lively with a lot of happy diners.  Nicole C. made our experience special and there is no doubt that a whole lot of love was put into the menu and food preparation.  

ABSOLUTELY the place to go when I come to NOLA, and will again and again. After all, there I a whole lot more to try here.",2018-10-28 14:41:31
-8HoPzdMhM1p3Px8tSxnZQ,rcSmNigVYkJzz-pzd5nIMA,5.0,"My wife and I took a short trip up to the Indianapolis area to see some lifetime friends who live in the small, beautiful country town of Jamestown, Indiana located just a small distance northwest of Indianapolis. There are many small farm communities along the way with very little great dining spots around. There are mostly fast food restaurants and small town diners and pubs. 

After a great day of catching up with each other accompanied with a couple bottles of good wine we left it up to them to go to one of the few great restaurants in the area. This beautiful large cozy dining experience ended up to be in Brownsburg, Indiana called Boulder Creek Dining Company. Leave it to me the: the first thing I noticed as we walked in was a bright Yelp sticker on the window that said ""Yelp loves us.""  Was impressed already!!!   As we walked in we were greeted by 2 friendly young gentlemen who handed over the menus and wine list to a girl who kindly seated us and we were immediately introduced to one of our servers who worked as a team with who later would be our waitress, Taylor. As we were walking to the table I immediately noticed the beautifully lit bar that wrapped around the attached dining room areas. Boulder Creek has surprisingly a large dining area and since the bar follows the dining areas on both sides , you can see the bar from wherever you are sitting. In the back of the restaurant there was a large open kitchen you can see also from wherever you are sitting.  The atmosphere had a very northern feel to it because of the dark wood and brick which warmed this place up.   I was very impressed about the immediate attention we received as Taylor helped us decide on the wine selection and answered some questions about the appetizers and entrees. The service was actually the first great attribute to Boulder Creek as it appeared that this dining experience will be timed perfectly and we would not be rushed. Taylor was  extremely friendly, knowledgeable and outgoing.  We ordered a great bottle of Concha Y Toro Gran Reserva which surprisingly was very reasonably priced.  

After we started on the wine, we were served an amazing Sour Dough bread loaf with a remarkable red pepper sauce.  I knew at that point we were in for a treat with their food as well.

We started out with the Heirloom Tomatoes and Mozzarella. Different from the normal Caprice Salad, the mozzarella was served lightly fried over fresh tomatoes which were topped with arugula. Sprinkled over the dish was a balsamic glaze, combined with the fried mozzarella, gave this dish a tremendous flavor.  We also shared the Ahi Tuna.  So fresh and flavorful, the tuna was perfectly seasoned. I could of made a sushi meal out of this dish.  My wife had a real great house salad which she loved.  

I ordered my entrée, which was highly recommended by Taylor; Double Cut Pork Chop.  The pork chop was so thick and so lean. It was grilled and charred on the outside and was very tender on the inside as it was cooked medium.  The way they charred and seasoned the outside of this thick pork chop gave this dish the best flavor and tenderness. You can taste it at the start and finish of each bite.  The side was a baked potato which went with this perfectly.  The wine was also tasting better too by the way.  My wife had grilled Salmon.  She is picky about Salmon which is one of her favorite fish dishes and she loved it. Now here is an unusual dish I've never seen which my friend ordered; Lobster Risotto and filet medallions.  He loved it and I decided that this is what I will order the next time I come here.  

We all decided to split an unusual ice cream desert, the Graeters Ice Cream Trio. The desert was served in 3 small attached glass bowls, and included  Cappuccino Chip and Mint Chip Ice Cream which surrounded a raspberry ice cream in the middle. It was served with fresh Basil and whipped cream. Glad we shared this because I would of eaten this great dessert by myself.  

Boulder Creek has a tremendous feel to it.  There is also outdoor dining as you walk into the front of the restaurant. The mild weather here would make outdoor dining easy, as we are used to heat and humidity in Florida which sometimes makes it difficult to do.

This was a perfect evening with friends in a restaurant that had all sorts of surprises.  Five stars for atmosphere, PERFECT service and a top menu with culinary perfection.  I really hope we can come back soon.",2015-07-05 20:47:46
-8PU0Z4Q2Nc-sY0eBj4DiQ,3dQaEBDWOyqDYhP3-ac7NQ,5.0,"This place is my favorite lunch spot or rainy evening bowl of warm goodness. Obviously it's a noodle forward place and both the ramen and udon noodles always tastes fresh and perfectly cooked. Next the broth, my staple has been the spicy Dosunco, it's so rich and complex that fills your belly up right. Finally tried the vegetarian Udon and wow for a vegetarian broth it packs flavor. The standard bowl is good but I always add more bamboo shoots and seaweed. Save room for a sweet bite of the delish mochi ice cream. I love the green tea. 

And during the CV19 outbreak they serve everything separate and you fill the bowl with the broth and it comes out perfect at home. Great for takeout as well",2020-04-26 20:11:43
-9-uNREEWNbkqqsTuZpCRg,_HcAoG6Jj_XTj4-XNEbo6Q,4.0,"What a pleasant surprise! Starving after a full day at Busch Gardens, we went on our way to find some food that didn't cost us an arm and a leg (like theme park food).   Low and behold- Fuzzy's Taco Shop.  This place rocks!  The decor is extremely vibrant and fun. They have funny quotes in the bathrooms and on the walls.  Seating room is wide open and airy feeling.  

My husband, son and I shared an order of pulled pork nachos and another order of ground beef tacos. Holy cow-- the servings are HUGE!!!! They really don't skimp on toppings.  The nachos come topped with pico de Gallo, queso, feta and garlic sauce (in addition to the protein of  choice).  I was a major fan of their original ""Butt Burnin'"" hot sauce.  

My younger son had an order of grilled fish tacos and absolutely loved it.  I didn't get a taste, but I trust his opinion.  He's a fish taco connoisseur :-)

I'm stoked I actually have a Fuzzy's in my area... sad I haven't given it a chance earlier!",2020-01-01 00:39:58
-98eYiCNMmsVgeBFnQNhpw,lYloPAiaWJwWgno4SdxD0Q,1.0,"I have been a loyal customer of Dolce Carini  for the past year. I have time and again shelled out almost $8 for 6 mozzarella sticks with a smile. Simply because Dolce has the best sticks in a 5 block radius, and I don't get much time for lunch. 
However, today is the last time I will step foot into this overpriced- over hyped pizza joint. I called in my order of Mozzarella sticks, I waited till 1:45, so I could avoid the lunch rush. When I went to pick my order up, I was on the receiving end of some of the worst service I have ever received. At the counter no one asked me how could they help me. I stood there for about 2 minutes and finally got the attention of the woman at the counter. I told her my name and my order. After getting that information from me, she proceeded to turn around to her computer and answer the phone. Now understand that a restaurant can be busy, so I waited a few minutes. Still she didn't get my order, but proceeded to tend to her computer screen and take calls. Another woman working there walked by and I asked fro her help. She was ABOUT to help me but the first lady told her that she was helping me. At that point she turned back to her computer and phone AGAIN. So I told her that I had to go back to work, and I just needed to pay for my order. She goes to get the order, hands it to me, takes my $20, and then answers the phone, and gets back on her computer.  She finally hands me my change, and when I told her that this was very poor customer service she said something that I wont write here. At that point I said I want my money back. I will not allow you to treat me poorly and take my money. Lets just say it took me another 7 minutes to get my money back. I asked the lady what her name was, she refused to tell me. Them I asked for a manager. She said she was the manager. I was appalled at such behavior.",2014-07-18 18:29:57
-9I98YbNQnLdAmcYfb324Q,OZi0fOn8-ISUwhEAWC_8Gg,3.0,"We were hankering for ramen and had bookmarked this place on Yelp before heading out to Nashville. 

It's a bit difficult to find, as it's in a plaza area and the addresses aren't obvious. Walk towards the back of the plaza and it's on your left hand side with an outside patio. 

The hostess wasn't too happy when she greeted us, but that's cool. Perhaps she was tired. 

We were starving after a long day and immediately started ordering. Everything looked so good, but not everything was delicious. 

Yellowtail and jalapeno sashimi: fish tasted a bit too fishy and chewy. Pass.

Salmon sushi: delish and very good quality. 

Yellowtail sushi: my friend said this was much better than the yellowtail sashimi

Wagyu shortrib yakitori: best dish of the night! The beef was perfectly cooked and not chewy at all. 

Chicken ramen: meh, this was just okay. Too salty for me and I wasn't fond of the thicker noodles. The soft boiled egg was a redeeming factor. 

Pork ramen: my friend ordered this and I only had a taste of the broth. It was so much better than the chicken!! It also came with the thinner noodles that I would have preferred. 

Service was pretty good, as we got served by three different waiters. I was a bit disappointed when we tried to order another round of the beef skewers because the kitchen closed at 10 pm on the dot. Wish they had given us some kind of notice. 

I would recommend this place if you're in the area. Get the pork ramen, beef skewers and sushi! Good eclectic mix of Japanese food.",2015-05-30 15:02:46
-9da1xk7zgnnfO1uTVYGkA,IkY2ticzHEn4QFn8hQLSWg,3.0,"When I was working in Philly a few years ago, I made it a point to get my fill of Philly cheesesteak sandwiches...................so I made a list of places to hit up on, and they were -

1. Tommy DiNic's
2, Geno's Steaks
3. Pat's King of Steaks
4. Carmen's Famous Italian Hoagie

Located in south Philly...........finding Geno's wasn't too hard for me, but finding parking to get to Geno's was the biggest challenge! There is no private parking for this place, so you have to roll the dice & hopefully find some metered street parking. Lucky for me, I was able to find some street parking that wasn't too far, so I was able to hit up both Geno's & Pat's at the same time, as both rival business are just across from each other.

When you walk up to the ordering counter, make sure you're ready to order your cheesesteak as they like to keep the line moving.............there is only outside seating, as this place is like a grab & go kinda place.

Upon ordering, I ended up getting my cheesesteak sandwich with American cheeese & onions. Just a tip gang............don't do the American cheese, get the Wiz instead.......as that's the real way of eating a cheesesteak sandwich! I also noticed Geno's cuts their meat in whole slices, vs. Pat's that cuts up their meat in small little pieces.

What can I say about my sandwich? The bun was good, but the meat was rather on the dry and chewy side...........I was thinking to myself - ""what is all the hype about this place?"" Granted, I am not a Philly cheesesteak connoisseur...........but I know what I like as far as taste, and Geno's was just okay for me. 

I know Geno's has been around for a long time (founded in 1966 by Joey Vento), so I'm sure they have their loyal fans. 
Still worth it to make the trip out here, because if you don't try it.......you'll never know right?",2016-07-12 11:49:59
-9da1xk7zgnnfO1uTVYGkA,PP3BBaVxZLcJU54uP_wL6Q,3.0,"I came to Pat's right after I left Geno's..........after all, it was just a hop, skip, & jump away from each other.............and being that this Hawaii boy made it all the way to Philly for work, by George, I had to have me my Philly cheesesteak sandwiches!!!

Pat's has been around even longer than Geno's, as Pat's King of Steaks was founded in 1930 by Pat Olivieri. He originally sold hot-dogs from a hot-dog stand, but one day decided to make a steak sandwich which caught the eye of one of his loyal customers who was a cabbie............after that, the steak sandwich was born!

Pat's has a similar set up like Geno's.........you go to the ordering counter, & order your sandwich. Please note the ordering sign, as they have instructions on how to order your sandwich to keep the line moving. 
Upon getting your sandwich, there are a few outdoor tables & seats, as this place is basically a grab & go kinda place too.

Upon ordering my sandwich, I got my cheesesteak with onions and American cheese. Just a tip gang.........don't do American cheese..........get the ""Whiz"" instead, as that's the true way to eat a cheesesteak sandwich. 
I guess I'm not a fan of cheese whiz, and that is why I did the American cheese..........but the American cheese didn't really go too good in the sandwich..............so get da Whiz! No can go wrong!

I liked the fact that Pat's cuts up their meats for their sandwiches...........as the meat tasted less chewy than Geno's, but overall..........it was just okay for me as I've had better at other places.

Loved the history about this place, as Pat's King of Steaks is well know in Philly.",2016-07-12 12:15:34
