商家ID,店名,地址,城市,州,纬度,经度,评分,评论数,分类,营业时间
hkQNgNNTTKX3LIiWn5tqTQ,Thai-Am 2,13037 Gulf Blvd,Madeira Beach,FL,27.787275,-82.784657,3.5,174,"Thai, Restaurants","{'Monday': '11:30-21:30', 'Tuesday': '11:30-21:30', 'Wednesday': '11:30-21:30', 'Thursday': '11:30-21:30', 'Friday': '11:30-21:30', 'Saturday': '11:30-21:30', 'Sunday': '11:30-21:30'}"
nQVNvnDjLB_mmexuwkWqVg,Applebee's Grill + Bar,693 North McCarran Blvd,Sparks,NV,39.541,-119.7342,2.5,140,"Restaurants, Burgers, Chicken Wings, Sports Bars, American (Traditional), Nightlife, Steakhouses, Bars","{'Monday': '0:0-0:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-19:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-20:0'}"
gjbmwlYUImb2lQBp5LV3KA,Maypop Restaurant,611 O'Keefe St,New Orleans,LA,29.948960746,-90.0748741999,4.5,596,"Chinese, Restaurants, Thai, Dim Sum, American (New)","{'Monday': '0:0-0:0', 'Thursday': '16:0-20:30', 'Friday': '16:0-21:30', 'Saturday': '17:0-21:30', 'Sunday': '17:0-23:0'}"
Pr-OrQ0-hNPFdp8bVZN6Lg,Zozo's Ristorante,3446 Lakeside Dr,Reno,NV,39.4923505,-119.8073087,4.0,408,"Italian, Restaurants, Food, Seafood, Desserts","{'Monday': '0:0-0:0', 'Tuesday': '17:0-20:30', 'Wednesday': '17:0-20:30', 'Thursday': '17:0-20:30', 'Friday': '17:0-21:0', 'Saturday': '17:0-21:0'}"
X-tcDNuuEwUqJf9Sp9ELuA,Fazzi's Bar & Grill,1813 Vandalia St,Collinsville,IL,38.69203,-89.971958,4.0,115,"American (Traditional), Restaurants, Italian, Greek","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}"
C1QkJ4s_p3hMTrvOgM7ssA,The Enerjuicer,3309 W Kennedy Blvd,Tampa,FL,27.9451157,-82.4978944,3.5,122,"Juice Bars & Smoothies, Active Life, Fitness & Instruction, Burgers, Acai Bowls, Food, Vegan, Salad, Specialty Food, Restaurants, Yoga, Health Markets","{'Monday': '0:0-0:0', 'Tuesday': '8:0-20:0', 'Wednesday': '8:0-20:0', 'Thursday': '9:0-16:30', 'Friday': '8:0-20:0', 'Saturday': '9:0-20:0', 'Sunday': '10:0-18:0'}"
hbs43HZRB1nwMzMtiT9lsQ,Edibles & Essentials,5815 Hampton Ave,Saint Louis,MO,38.5794800971,-90.294110924,4.5,167,"Restaurants, Asian Fusion, Food, Specialty Food, Cafes","{'Monday': '0:0-0:0', 'Tuesday': '16:0-21:0', 'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '16:0-21:0', 'Saturday': '16:0-21:0'}"
WzAxy5vdpQzahHIN4OMQnQ,Stephen's On State,105 W State St,Media,PA,39.9183534,-75.3912926,2.5,197,"Nightlife, Steakhouses, Bars, American (Traditional), Restaurants","{'Monday': '11:30-21:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-21:0'}"
it3HFWgbN-c9m5QRWCerhA,Rosie’s Place,"1111 W Main Ave, Ste 100",Carmel,IN,39.9778658,-86.1469209,4.0,141,"Restaurants, Breakfast & Brunch","{'Monday': '7:0-15:0', 'Tuesday': '7:0-15:0', 'Wednesday': '7:0-15:0', 'Thursday': '7:0-15:0', 'Friday': '7:0-15:0', 'Saturday': '8:0-14:0', 'Sunday': '8:0-14:0'}"
TaYJfvjk0kLMnS-gQd28bw,Dominic's Tavern,100 E Browning Rd,Bellmawr,NJ,39.8655982,-75.0746134,4.0,151,"Restaurants, Bars, Pubs, Nightlife, American (New)","{'Monday': '11:0-0:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-2:0'}"
kxOR-Z62MnMUlCZWQmd2iQ,Ceviche Tapas Bar And Restaurant,332 Beach Dr NE,St Petersburg,FL,27.7758481,-82.6321798,4.0,789,"Basque, Restaurants, Tapas Bars, Spanish","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-21:0'}"
qc9kW29jvA7jtjGMQPjykA,Empamamas,"1910 N Ola Ave, Ste 13",Tampa,FL,27.9611176532,-82.463934854,4.0,207,"Empanadas, Restaurants, Mexican, Event Planning & Services, American (Traditional), Tacos, Food, Caterers, Food Trucks","{'Monday': '11:0-21:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-21:0'}"
xlqqHO-iL5VEqPGZUOyIyA,Cafe Vino Tinto,509 Main St,Safety Harbor,FL,27.9908922,-82.6925108,4.5,148,"Coffee Roasteries, Food, Coffee & Tea","{'Monday': '0:0-0:0', 'Tuesday': '7:0-15:0', 'Wednesday': '7:0-15:0', 'Thursday': '7:0-15:0', 'Friday': '7:0-15:0', 'Saturday': '7:0-15:0', 'Sunday': '7:0-15:0'}"
Tdp95AviUqzvUd3H2C5xvw,Famous Nashville,110 2nd Ave N,Nashville,TN,36.16229,-86.775283,3.5,109,"Music Venues, Lounges, American (Traditional), Arts & Entertainment, Nightlife, Bars, Restaurants, Southern","{'Wednesday': '11:0-22:0', 'Thursday': '11:0-23:0', 'Friday': '10:0-18:30', 'Saturday': '10:0-3:0', 'Sunday': '10:0-23:0'}"
-W0tnXYJ4WuxLjzmbwlVAQ,Tavolo V,6118 Delmar Blvd,Saint Louis,MO,38.6551578,-90.2968351,4.0,204,"Mediterranean, Italian, Restaurants, Pizza","{'Monday': '17:0-21:0', 'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0', 'Sunday': '16:0-21:0'}"
VHUNHJtGiPmLffwXO9tnPw,Zen Forrest,4148 Rowan Rd,New Port Richey,FL,28.2195983,-82.6909947,4.0,226,"Asian Fusion, Restaurants","{'Monday': '16:0-21:0', 'Tuesday': '16:0-21:0', 'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '16:0-21:30', 'Saturday': '16:0-21:30'}"
TiA5fpNc-T8QvrxT_EfmPg,Scotty's Brewhouse,1 Virginia Ave,Indianapolis,IN,39.7662077768,-86.1560133765,3.5,467,"Restaurants, American (Traditional), Bars, Nightlife, Beer Bar, Breweries, Burgers, Sports Bars, Food, Gluten-Free","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-23:0'}"
hlS7wJQ650VrIZ1X0O2iOA,Eagle Diner,739 Street Rd,Warminster,PA,40.2077822,-75.1006712,3.0,131,"Breakfast & Brunch, Salad, Food, Sandwiches, Restaurants, Bakeries, Diners","{'Monday': '7:0-21:0', 'Tuesday': '7:0-21:0', 'Wednesday': '7:0-21:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}"
jLDwSeoQ_kDQwhnUJQO2yw,Sansom Kabob House,1300 South St,Philadelphia,PA,39.9432697,-75.1634989,4.0,106,"Soup, Vegetarian, Afghan, Kebab, Indian, Restaurants","{'Monday': '16:0-22:0', 'Tuesday': '16:0-22:0', 'Wednesday': '16:0-22:0', 'Thursday': '16:0-22:0', 'Friday': '16:0-22:0', 'Saturday': '16:0-22:0'}"
6_37iH47aHnMODiXVl-gUg,Toby's Original Little Italy Pizza,3523 49th St N,Saint Petersburg,FL,27.804623,-82.6990597,4.0,297,"Italian, Pizza, Restaurants","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}"
0VLvj_tqDWATqb9ThA-XiA,New Delhi Palace,6751 E Broadway Blvd,Tucson,AZ,32.2217203,-110.848841,3.5,253,"Gluten-Free, Cocktail Bars, Indian, Nightlife, Vegetarian, Bars, Restaurants, Pakistani, Vegan","{'Monday': '0:0-0:0', 'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-21:0', 'Saturday': '17:0-21:0', 'Sunday': '17:0-21:0'}"
1moMCBKMuiSVjmNe1sZbig,Sushi Land,861 W Lancaster Ave,Bryn Mawr,PA,40.0225949,-75.3202167,3.5,185,"Restaurants, Sushi Bars, Japanese","{'Tuesday': '16:0-22:0', 'Wednesday': '16:0-22:0', 'Thursday': '16:0-22:0', 'Friday': '16:0-22:0', 'Saturday': '16:0-22:0', 'Sunday': '16:0-22:0'}"
mY02hIpeZSVCaWObvvyECA,The Good Pie,3137 Olive St,Saint Louis,MO,38.6357301,-90.2249506,4.0,126,"Restaurants, Pizza","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0'}"
9ocQBw69M6V3N9LUafw2dg,Five Daughters Bakery 12south,1110 Caruthers Ave,Nashville,TN,36.1258702943,-86.7887662943,4.5,932,"Bakeries, Donuts, Food, Cupcakes","{'Monday': '7:0-22:0', 'Tuesday': '7:0-22:0', 'Wednesday': '7:0-22:0', 'Thursday': '7:0-22:0', 'Friday': '7:0-22:0', 'Saturday': '8:0-22:0', 'Sunday': '8:0-22:0'}"
K1r1fGmCbrmC_V6Aj22Zew,Village Bakehouse,7882 N Oracle Rd,Tucson,AZ,32.349513661,-110.9735189881,4.0,296,"Bakeries, Restaurants, Food, Breakfast & Brunch, Sandwiches","{'Monday': '7:0-16:0', 'Tuesday': '7:0-16:0', 'Wednesday': '7:0-16:0', 'Thursday': '7:0-16:0', 'Friday': '7:0-16:0', 'Saturday': '7:0-16:0', 'Sunday': '8:0-14:0'}"
oK4108Qg_mAccEbRb41o1Q,Isabel,"2601 Pennsylvania Ave, Ste 5",Philadelphia,PA,39.9687718,-75.1807705,3.5,107,"Restaurants, Tex-Mex, Mexican","{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-23:0', 'Saturday': '17:0-23:0', 'Sunday': '17:0-22:0'}"
wbwDE3g8j4w-TGy_E6dMSw,Cazador Grill,10918 N 56th St,Temple Terrace,FL,28.0481089,-82.3942414,4.5,259,"Restaurants, Steakhouses, Peruvian, Seafood","{'Monday': '16:0-21:0', 'Tuesday': '16:0-21:0', 'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '16:0-22:0', 'Saturday': '13:0-22:0', 'Sunday': '13:0-20:0'}"
peeXG1Ra-DClPQv14jvKvg,Square on Square,274 S 20th St,Philadelphia,PA,39.948333,-75.174521,3.5,246,"Seafood, Chinese, Restaurants, Tex-Mex, Asian Fusion, Sushi Bars, American (New), American (Traditional), Vegetarian, Italian","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:45', 'Sunday': '11:0-21:30'}"
EAPAK_XoJMXtUADVkB3xoA,Nami Ramen,278 N Skinker Blvd,Saint Louis,MO,38.6497534,-90.3002944,3.5,292,"Japanese, Ramen, Restaurants","{'Monday': '16:0-20:0', 'Wednesday': '16:0-20:0', 'Thursday': '16:0-20:0', 'Friday': '16:0-20:0', 'Saturday': '11:0-20:0', 'Sunday': '11:0-20:0'}"
02nb6CI8w-2EoSEkQdk2Wg,Philadelphia Java Company,852 S 2nd St,Philadelphia,PA,39.9361704128,-75.1469422175,4.0,101,"Bagels, Restaurants, Cafes, Food, Coffee & Tea","{'Monday': '6:0-19:0', 'Tuesday': '6:0-19:0', 'Wednesday': '6:0-19:0', 'Thursday': '6:0-19:0', 'Friday': '6:0-19:0', 'Saturday': '7:0-19:0', 'Sunday': '7:0-19:0'}"
v1msvs2bf_LwGUnIcCgSEg,King of Tandoor,1824 Callowhill St,Philadelphia,PA,39.96038,-75.16935,3.5,230,"Indian, Seafood, Restaurants, Pakistani","{'Monday': '12:0-22:0', 'Tuesday': '12:0-22:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-22:0'}"
AccXb_D8EbTuOlSK5MBtew,The Ranch House Grill,4426 W Gandy Blvd,Tampa,FL,27.8928419,-82.5204017,3.5,111,"American (Traditional), Restaurants, Steakhouses, Greek","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '11:0-21:0'}"
RfeNJDEt0AV9gPab9-A17Q,Yuki Sushi Japanese Cuisine,212 S Newtown Street Rd,Newtown Square,PA,39.9766799889,-75.3983826935,4.0,106,"Sushi Bars, Restaurants, Japanese","{'Tuesday': '17:0-21:30', 'Wednesday': '17:0-21:30', 'Thursday': '17:0-21:30', 'Friday': '17:0-21:30', 'Saturday': '16:0-21:30', 'Sunday': '16:0-21:30'}"
k40WgsXxRqe9qSHMv95a3w,The Pub Waterfront Restaurant,20025 Gulf Blvd,Indian Shores,FL,27.8668754,-82.8484714,3.5,254,"Seafood, Restaurants, American (Traditional)","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '8:0-22:0', 'Sunday': '8:0-22:0'}"
YqmClmk7oLcDzPWKHzgA-Q,South Philadelphia Tap Room,"1509 Mifflin St, Newbold",Philadelphia,PA,39.927216,-75.171477,4.0,530,"Breakfast & Brunch, Bars, Nightlife, Restaurants, Gastropubs, Pubs","{'Monday': '12:0-2:0', 'Tuesday': '12:0-2:0', 'Wednesday': '12:0-2:0', 'Thursday': '12:0-2:0', 'Friday': '12:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-2:0'}"
Rl42JbSMsmNW3LRjsTMYAg,Freebirds,879 Embarcadero Del Norte,Isla Vista,CA,34.4132668,-119.8556875,4.0,1270,"Salad, Restaurants, Tacos, Mexican, Breakfast & Brunch","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-23:0'}"
4OXWn2ytzaq4eTpJy4VvJA,Frosty's Caffe,"3400 Cleary Ave, Ste A",Metairie,LA,30.0053955,-90.1729288,4.0,137,"Food, Asian Fusion, Coffee & Tea, Restaurants, Desserts, Bubble Tea, Vietnamese","{'Monday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-20:0', 'Saturday': '11:0-20:0', 'Sunday': '12:0-20:0'}"
FdoIc2GfFO35OzVVC4fi2w,P & G Restaurant & Bar,345 Baronne St,New Orleans,LA,29.9514706,-90.0729795,4.0,203,"Restaurants, Cajun/Creole, Breakfast & Brunch, American (Traditional)","{'Monday': '6:0-15:0', 'Tuesday': '6:0-15:0', 'Wednesday': '6:0-15:0', 'Thursday': '6:0-15:0', 'Friday': '6:0-15:0', 'Saturday': '6:0-14:0'}"
oB19CmdYq9EzVsYf-dbrXQ,Pancho & Lefty's Cantina - Downtown,104 5th Ave S,Nashville,TN,36.1601865623,-86.7780553257,4.0,263,"Nightlife, Bars, Restaurants, Tex-Mex, Cocktail Bars, Tacos, Mexican","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '12:0-20:0'}"
oKmjgKAc5mjMB6v37Ix6yQ,Healthy Garden Cafe,73 E Main St,Moorestown,NJ,39.965284,-74.9439617,4.0,141,"Vegetarian, Restaurants, American (New), Caterers, American (Traditional), Wraps, Italian, Salad, Event Planning & Services, Sandwiches, Pizza","{'Monday': '9:0-20:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '9:0-20:0'}"
8LonS_bxNmCDk3FWiG9lzA,Tomo Sushi & Ramen,228 Arch St,Philadelphia,PA,39.951923,-75.144335,4.5,193,"Japanese, Restaurants, Ramen, Sushi Bars","{'Monday': '0:0-0:0', 'Tuesday': '15:0-21:30', 'Wednesday': '15:0-21:30', 'Thursday': '15:0-21:30', 'Friday': '15:0-22:30', 'Saturday': '15:0-22:30', 'Sunday': '15:0-21:30'}"
rsEy48n_jB0I-Mofec1NJA,Highway Karaoke and Fresh Tea,"7127 Hollister Ave, Ste 23, University Plaza Shopping Ctr",Goleta,CA,34.428088,-119.876588,4.0,105,"Juice Bars & Smoothies, Bubble Tea, Nightlife, Karaoke, Food","{'Monday': '11:30-23:30', 'Tuesday': '11:30-23:30', 'Wednesday': '11:30-23:30', 'Thursday': '11:30-23:30', 'Friday': '11:30-1:30', 'Saturday': '11:30-1:30', 'Sunday': '11:30-23:30'}"
32exKYuOUcXARWrhvAYzVQ,Austins Seafood & Steak House,5101 W Esplanade Ave,Metairie,LA,30.0179308723,-90.2002900106,4.0,120,"Seafood, Bars, Restaurants, Nightlife, Steakhouses, Cajun/Creole","{'Monday': '0:0-0:0', 'Tuesday': '17:0-21:30', 'Wednesday': '17:0-21:30', 'Thursday': '17:0-21:30', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0', 'Sunday': '11:0-16:0'}"
5Md0YaxD5HiOoBmsnmIu7A,Brandywine Pizza,532 N 15th St,Philadelphia,PA,39.9633082,-75.1631614,2.5,111,"Restaurants, Cheesesteaks, Italian, Pizza, Sandwiches, Salad","{'Monday': '19:0-2:30', 'Tuesday': '19:0-2:30', 'Wednesday': '19:0-2:30', 'Thursday': '19:0-2:30', 'Friday': '19:0-3:30', 'Saturday': '19:0-4:0'}"
Ru2baEL574xgX_-E1AJ-eg,The Queenshead Eurobar,2501 Central Ave,Saint Petersburg,FL,27.7712786,-82.6674369,4.0,159,"Bars, British, Breakfast & Brunch, Nightlife, Pubs, American (Traditional), Gastropubs, Restaurants","{'Monday': '11:0-15:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-23:0'}"
YVvm1Q3ir5TET0f66FOX_g,La Terrazza Ristorante Italiano,1727 E 7th Ave,Tampa,FL,27.960278,-82.4395096,4.5,210,"Restaurants, Italian, Seafood","{'Tuesday': '17:30-22:0', 'Wednesday': '17:30-22:0', 'Thursday': '17:30-22:0', 'Friday': '17:30-22:0', 'Saturday': '17:30-22:0'}"
HLyfHwyEioeD-C3j8z-5bA,Porter Road Butcher,501 Gallatin Ave,Nashville,TN,36.1820737,-86.7489769,4.0,112,"Food, Butcher, Grocery","{'Monday': '0:0-0:0', 'Tuesday': '10:0-16:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-18:0', 'Sunday': '10:0-16:0'}"
2RtyOlU9mwyVisvgOECaDA,Uniboil,"5599 Hollister Ave, Unit C",Goleta,CA,34.4354208,-119.8203772,4.0,209,"Food, Bubble Tea, Chinese, Restaurants, Asian Fusion, Hot Pot","{'Monday': '0:0-0:0', 'Tuesday': '11:30-20:30', 'Wednesday': '11:30-20:30', 'Thursday': '11:30-20:30', 'Friday': '11:30-20:30', 'Saturday': '11:30-20:30', 'Sunday': '11:30-20:30'}"
g3LweOTJlJoALtaShN4SLA,Barrel 55,3004 N Eagle Rd,Meridian,ID,43.6327333,-116.3538141,2.5,148,"Burgers, Nightlife, American (New), Beer Bar, Restaurants, Bars, American (Traditional)","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '10:0-22:0'}"
AP_sb7dETsflRNNkJinYUQ,Chill Restaurant & Bar,357 Corey Ave,Saint Pete Beach,FL,27.742394,-82.7499036,4.0,287,"Bars, Tapas/Small Plates, Seafood, Tapas Bars, Nightlife, Breakfast & Brunch, Restaurants, American (New)","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-22:0', 'Friday': '9:0-23:0', 'Saturday': '9:0-23:0', 'Sunday': '9:0-16:0'}"
Q4_uwzXOKX5jv1I6SBR9ig,Savona,100 Old Gulph Rd,Gulph Mills,PA,40.062078,-75.340573,3.5,184,"Diners, Italian, Restaurants, Cocktail Bars, Breakfast & Brunch, Nightlife, French, American (Traditional), American (New), Modern European, Venues & Event Spaces, Bars, Seafood, Steakhouses, Event Planning & Services","{'Monday': '17:30-21:0', 'Tuesday': '17:30-21:0', 'Wednesday': '17:30-21:0', 'Thursday': '17:30-21:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0', 'Sunday': '10:30-21:0'}"
IxlIgLbIbynzJdzeqO860Q,Arario Midtown,"777 S Center St, Ste 200",Reno,NV,39.5180367441,-119.8083902944,4.5,588,"Nightlife, Bars, Korean, Restaurants, Gluten-Free, Tapas/Small Plates, Tapas Bars, Asian Fusion, Cocktail Bars","{'Monday': '0:0-0:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '13:0-21:0'}"
4qG7aFq9-45830OfYt7gCA,Radicchio Cafe,402 Wood St,Philadelphia,PA,39.956611,-75.1463377,4.0,309,"Cafes, Restaurants, Italian","{'Wednesday': '17:0-20:30', 'Thursday': '17:0-20:30', 'Friday': '17:0-20:30', 'Saturday': '17:0-20:30', 'Sunday': '17:0-20:30'}"
mAPhGy1jm7va499TPFlHzQ,Parran's PO-Boys,"3939 Veterans Memorial Blvd, Ste B",Metairie,LA,30.0051455,-90.1741913,3.5,150,"American (Traditional), Pizza, Restaurants, Cajun/Creole, Italian, Salad","{'Monday': '11:0-19:30', 'Tuesday': '11:0-19:30', 'Wednesday': '11:0-19:30', 'Thursday': '11:0-19:30', 'Friday': '11:0-20:30', 'Saturday': '11:0-20:0'}"
