用户ID,商家ID,评分,评论时间
-9da1xk7zgnnfO1uTVYGkA,IkY2ticzHEn4QFn8hQLSWg,3.0,2016-07-12 11:49:59
-9da1xk7zgnnfO1uTVYGkA,PP3BBaVxZLcJU54uP_wL6Q,3.0,2016-07-12 12:15:34
-9da1xk7zgnnfO1uTVYGkA,ytynqOUb3hjKeJfRj5Tshw,5.0,2018-10-15 10:27:20
-A2Yc-tSf36TDfUIFDYypw,vDU_pwTCyHBPs-JoklOMWQ,2.0,2011-04-14 16:47:58
-B-QEUESGWHPE_889WJaeg,-FM4CxOg4XXmX_Ebky_SiQ,4.0,2016-06-04 23:16:01
-B-QEUESGWHPE_889WJaeg,0ac5lGA_0wdKDnib3y59Xg,4.0,2019-12-22 20:33:16
-B-QEUESGWHPE_889WJaeg,6VVbLYay8czrjKJ4xRoTxQ,3.0,2015-10-19 00:11:19
-B-QEUESGWHPE_889WJaeg,7wSnkgOORRCqVDa_n8Upxg,1.0,2017-12-03 18:51:55
-B-QEUESGWHPE_889WJaeg,8Vo6LN9gqULhXzoxj5k6kQ,5.0,2015-08-17 01:38:27
-B-QEUESGWHPE_889WJaeg,QBNATcq7Stx9LxcSq16W7w,5.0,2015-08-29 15:27:24
-B-QEUESGWHPE_889WJaeg,QLHgjBHBoeIUoEvIPvjHnw,2.0,2017-02-07 03:07:53
-B-QEUESGWHPE_889WJaeg,Qkg16mN-8QR66gjzg6gMyw,2.0,2017-05-19 20:28:17
-B-QEUESGWHPE_889WJaeg,TzNk1TcWLZn0JCpO83hBAA,5.0,2019-01-10 20:45:05
-B-QEUESGWHPE_889WJaeg,m4kvY0viCwxqRtgOycnKVQ,5.0,2015-10-14 19:12:27
-B-QEUESGWHPE_889WJaeg,omnCKxL0f_akh0eYeJxjDg,3.0,2015-03-29 21:00:50
-B-QEUESGWHPE_889WJaeg,rPVmM0aJbC6lU_mnDiZ2Rw,5.0,2021-03-25 13:10:05
-CPlgnA37MIoyAKf1l3TiQ,9kv9JpLhzkN3UeWZDrsmEA,1.0,2014-05-25 22:21:58
-CjSuDNxKBapPs-7mbSjPQ,AtQLrRpQan7UtJcIAo9hsA,2.0,2012-09-23 20:09:55
-CzwjrantVGMmZB8Qj_7-Q,_E0WPHfJEYmwOUCAj-Jq1A,2.0,2019-11-04 05:37:39
-CzwjrantVGMmZB8Qj_7-Q,uLg0FaTWN2mr3_rrcnoqTw,5.0,2020-10-13 01:06:03
-DhDdruQ9flCjpTTZ705HA,nlVLzktT0RfgSw-ZL4qPRA,1.0,2015-07-19 01:03:49
-FZBTkAZEXoP7CYvRV2ZwQ,U2y7fsqDgxAXskoJNVxbwg,5.0,2017-12-16 22:58:57
-FZBTkAZEXoP7CYvRV2ZwQ,d_tRshM-w6S4QxE4VVi8tQ,5.0,2017-12-16 23:10:20
-FZBTkAZEXoP7CYvRV2ZwQ,mf0OyZ6DX2iKUFIV9TqFRQ,4.0,2017-12-16 23:14:00
-FZBTkAZEXoP7CYvRV2ZwQ,x8H-yQUbbeaC28Sj4cqy4w,5.0,2017-12-16 23:35:56
-G4tTVw-FMTYWZTALYpzlQ,H1Azz4BpHYC8BlUAdMlfxw,4.0,2021-10-04 21:40:05
-G4tTVw-FMTYWZTALYpzlQ,V2xSuNLZb6QAb7GdNkI3rg,5.0,2021-10-27 12:07:21
-G7Zkl1wIWBBmD0KRy_sCw,-RckAAIJ-_KH0AzqrekYuw,5.0,2018-04-17 21:31:31
-G7Zkl1wIWBBmD0KRy_sCw,02qFLwwFi8T804rHcYh7Zw,3.0,2017-03-28 19:43:13
-G7Zkl1wIWBBmD0KRy_sCw,0Y5OG0uk8exyeYdqxKa1XA,4.0,2019-10-06 15:44:01
-G7Zkl1wIWBBmD0KRy_sCw,0yOfDyqoJTp6-9qbyroyEw,5.0,2016-07-05 15:06:11
-G7Zkl1wIWBBmD0KRy_sCw,23qa5SsahSsVhqAVmX6aow,4.0,2017-04-29 14:02:04
-G7Zkl1wIWBBmD0KRy_sCw,2EDFZFFdE3p-ZD7-loI02A,4.0,2018-09-02 15:37:53
-G7Zkl1wIWBBmD0KRy_sCw,2XYPFRm7teCUr3eGsB2-qw,4.0,2019-03-22 16:37:59
-G7Zkl1wIWBBmD0KRy_sCw,2f6NaQVGTM59OGvsdT9pxg,4.0,2014-03-09 16:32:58
-G7Zkl1wIWBBmD0KRy_sCw,3OOL_DXbqIMvqz_30LfJNw,4.0,2017-03-14 19:34:20
-G7Zkl1wIWBBmD0KRy_sCw,3tfku-srVI4CJDA9BzacSw,2.0,2016-03-15 19:33:56
-G7Zkl1wIWBBmD0KRy_sCw,4gvAsj8NRTla82aSBzGytw,4.0,2021-10-15 18:31:08
-G7Zkl1wIWBBmD0KRy_sCw,4kjq3pjsyA8XdwYDJg8y0g,5.0,2019-11-18 22:17:35
-G7Zkl1wIWBBmD0KRy_sCw,5HJz1MV553ZKslOwxUKrDA,5.0,2018-09-30 14:06:58
-G7Zkl1wIWBBmD0KRy_sCw,5kXqNRNpxm4vP_awcidPDA,3.0,2021-06-21 20:48:32
-G7Zkl1wIWBBmD0KRy_sCw,7JPbpoD_oyG0AUbRwHR75g,4.0,2021-07-16 16:52:50
-G7Zkl1wIWBBmD0KRy_sCw,8R_URQJrMN1VrlLFpArSAg,2.0,2019-12-17 18:04:20
-G7Zkl1wIWBBmD0KRy_sCw,8iMubtt1hTafu5YhEzvZVg,5.0,2017-12-07 17:04:00
-G7Zkl1wIWBBmD0KRy_sCw,9pr6rI87hZTCIAnFGNnvzQ,2.0,2019-11-20 04:07:32
-G7Zkl1wIWBBmD0KRy_sCw,AooN1OtJJLh1G6A-8u1v8w,4.0,2019-03-27 15:49:59
-G7Zkl1wIWBBmD0KRy_sCw,B4JZy1PBgiO3xp8zKgwUJA,4.0,2018-01-10 15:40:04
-G7Zkl1wIWBBmD0KRy_sCw,BJeM2i8sJ_ulULeIAuNq0g,4.0,2018-03-05 16:57:20
-G7Zkl1wIWBBmD0KRy_sCw,Bl6QNjzmtG779fI5Hm4gfA,3.0,2020-05-04 17:39:23
-G7Zkl1wIWBBmD0KRy_sCw,DO_op-iq4qoaOBEhJH6EdQ,3.0,2018-03-24 23:08:31
-G7Zkl1wIWBBmD0KRy_sCw,EpFFiPHKx9yP-WqOCuxRCw,3.0,2017-10-02 16:24:08
-G7Zkl1wIWBBmD0KRy_sCw,EwYzIWSC-w81qZwUwVDoIQ,5.0,2017-09-09 22:17:32
-G7Zkl1wIWBBmD0KRy_sCw,FCAqHUb6Wn1ABMDQZG0Dnw,4.0,2017-07-11 14:27:07
-G7Zkl1wIWBBmD0KRy_sCw,FFKLPxNOHF8xMV8jSVfO1g,4.0,2018-08-28 17:57:32
-G7Zkl1wIWBBmD0KRy_sCw,FIFi_8eNmc-jPHZVHPS3NQ,5.0,2019-09-09 21:04:35
-G7Zkl1wIWBBmD0KRy_sCw,FcZxIZcFyJFDny8J83KzCw,4.0,2018-12-05 19:11:46
-G7Zkl1wIWBBmD0KRy_sCw,FlhLKsuV-QuLBzn1XFLvaA,3.0,2019-04-16 16:22:21
-G7Zkl1wIWBBmD0KRy_sCw,GXqzvoBm9iEZ_R6Ubeqzrw,5.0,2015-11-30 18:06:30
-G7Zkl1wIWBBmD0KRy_sCw,Gw7UW0E2BguzL9suQnwDeg,5.0,2018-01-29 17:20:22
-G7Zkl1wIWBBmD0KRy_sCw,HNI6qvswn1KYybgJVqUWGg,5.0,2021-11-25 17:29:21
-G7Zkl1wIWBBmD0KRy_sCw,HSv0Pe45yPAs6PgwlcTPcg,4.0,2015-05-03 12:04:43
-G7Zkl1wIWBBmD0KRy_sCw,HgxY_RnJFGqqSVO32nxS4A,4.0,2018-01-03 18:46:01
-G7Zkl1wIWBBmD0KRy_sCw,I79keuDOkqf1CFjYDMRMNg,2.0,2018-08-21 15:32:11
-G7Zkl1wIWBBmD0KRy_sCw,IAgeKx3Z3_JqMjcAOCy2dQ,5.0,2016-09-19 14:14:52
-G7Zkl1wIWBBmD0KRy_sCw,IKF8XeK93NsQxrXQvdGZmA,5.0,2021-07-09 18:02:39
-G7Zkl1wIWBBmD0KRy_sCw,IbndcMURguByburM72o3SA,5.0,2015-11-18 20:21:35
-G7Zkl1wIWBBmD0KRy_sCw,JVZ_c3k01uAIas5B61iISg,3.0,2015-08-31 02:46:45
-G7Zkl1wIWBBmD0KRy_sCw,Jo2zJoA818OmbiE-6HfghA,2.0,2021-12-16 23:52:21
-G7Zkl1wIWBBmD0KRy_sCw,LaEnUeazBtFdu8_IJlH97w,4.0,2016-06-13 15:05:34
-G7Zkl1wIWBBmD0KRy_sCw,NABcZKRWQF9-rDVt0P0bhw,4.0,2016-10-12 10:33:33
-G7Zkl1wIWBBmD0KRy_sCw,NRl9bD37QQUmdgW8AhUwZw,4.0,2014-01-12 17:42:42
-G7Zkl1wIWBBmD0KRy_sCw,Ony7JxUB_ncfK146S66PPA,2.0,2017-02-07 17:23:18
-G7Zkl1wIWBBmD0KRy_sCw,Oun4NN-u5yiHIxDqtJnxgA,3.0,2016-02-02 16:23:54
-G7Zkl1wIWBBmD0KRy_sCw,P2Lm1g_RztvIaH4daQsXoQ,4.0,2017-05-05 15:02:00
-G7Zkl1wIWBBmD0KRy_sCw,P8B3oNC6HzSyQWHTDXUuXQ,4.0,2014-06-30 16:37:07
-G7Zkl1wIWBBmD0KRy_sCw,PJjkH_VZeQwxEJvlQ-v7wA,5.0,2016-05-30 20:55:04
-G7Zkl1wIWBBmD0KRy_sCw,Q9poenJ9SS3agpPo4Pgyyg,5.0,2017-01-20 12:10:02
-G7Zkl1wIWBBmD0KRy_sCw,QJcjW79f5k_HLg5_KgjUtg,3.0,2017-04-10 14:27:26
-G7Zkl1wIWBBmD0KRy_sCw,QK9s-Chx69_U-M2gsPb3Gw,4.0,2017-06-25 21:32:12
-G7Zkl1wIWBBmD0KRy_sCw,QVqLR6SJZP9DyeYVR9esUg,2.0,2021-03-22 17:06:53
-G7Zkl1wIWBBmD0KRy_sCw,Qsf6aYZHrP5SLioZXQrpXg,3.0,2017-01-19 14:55:56
-G7Zkl1wIWBBmD0KRy_sCw,RotPJ1vjKab0NbMh--7dPA,3.0,2016-06-19 14:08:07
-G7Zkl1wIWBBmD0KRy_sCw,RuT4UXoJEtNGwzeZ0igeNQ,3.0,2018-06-12 16:16:59
-G7Zkl1wIWBBmD0KRy_sCw,Rzx2E5XgTeGU7FEbUZ-bGg,2.0,2019-07-23 16:40:45
-G7Zkl1wIWBBmD0KRy_sCw,STwdgdVYWm-pBDF1JIpAVA,2.0,2019-04-20 20:08:29
-G7Zkl1wIWBBmD0KRy_sCw,SchEDi1KRF7oXar40gakzQ,4.0,2021-09-30 14:37:12
-G7Zkl1wIWBBmD0KRy_sCw,T9n_LqUUhC2b1ALhg57Y5Q,4.0,2019-02-25 17:11:41
-G7Zkl1wIWBBmD0KRy_sCw,TD2Ln8rzK-UbGECZkD6V4Q,4.0,2019-09-12 18:31:04
-G7Zkl1wIWBBmD0KRy_sCw,TODSpqAYU59Y_sfcL98rLA,2.0,2016-07-14 13:51:48
-G7Zkl1wIWBBmD0KRy_sCw,TRo4MkPEtdZAkM1G6C_i1w,3.0,2019-10-13 14:10:58
-G7Zkl1wIWBBmD0KRy_sCw,TiywUz1q7Yw8JL4daD4fKQ,3.0,2019-02-06 02:54:00
-G7Zkl1wIWBBmD0KRy_sCw,X6_5_b4gVKo83VPn0FyONw,3.0,2018-03-25 16:35:26
-G7Zkl1wIWBBmD0KRy_sCw,YQvVAKCpPcOJHwwrMad4KA,3.0,2018-04-25 18:54:02
-G7Zkl1wIWBBmD0KRy_sCw,Yax5aVDXTboGKvy8J6Vqpg,5.0,2017-12-03 15:15:05
-G7Zkl1wIWBBmD0KRy_sCw,ZuwJdk2g6XGRWV94TE50Cg,4.0,2014-10-31 21:12:39
-G7Zkl1wIWBBmD0KRy_sCw,_kaXQwnlsnfpUsKr3otCBg,3.0,2016-06-01 17:34:13
-G7Zkl1wIWBBmD0KRy_sCw,aRb_ToTRcHa9BICLLj8n-A,4.0,2021-03-28 15:06:13
-G7Zkl1wIWBBmD0KRy_sCw,aduPqegPuD0amg0dXtxBgA,3.0,2018-05-08 16:49:25
-G7Zkl1wIWBBmD0KRy_sCw,avB60OOVc_YOyfbz2AqL_g,4.0,2018-04-05 16:07:54
-G7Zkl1wIWBBmD0KRy_sCw,b6kCTSH1kHtfcHxUTm2odA,4.0,2017-12-17 18:08:18
-G7Zkl1wIWBBmD0KRy_sCw,bFln2Z17KfFIcEz4TRaHjw,3.0,2021-11-22 16:23:45
-G7Zkl1wIWBBmD0KRy_sCw,bncTqUdA8ZPcUkDDmUbqyA,3.0,2021-10-24 14:38:23
-G7Zkl1wIWBBmD0KRy_sCw,cLxia5oKALmQ1HDWq0KPmw,5.0,2017-12-30 02:40:47
-G7Zkl1wIWBBmD0KRy_sCw,d_tRshM-w6S4QxE4VVi8tQ,4.0,2015-12-05 22:43:09
-G7Zkl1wIWBBmD0KRy_sCw,diovHdArxKlT5ZgkTfDkRQ,5.0,2017-03-10 16:08:28
-G7Zkl1wIWBBmD0KRy_sCw,eBQd3DwWtW9UE-g_WNC3zg,2.0,2015-12-04 21:27:26
-G7Zkl1wIWBBmD0KRy_sCw,eY8exh1aLVVhW6z_M0u_Eg,4.0,2021-04-12 15:42:05
-G7Zkl1wIWBBmD0KRy_sCw,eirHDiyhPn2YSo08G1tt6g,4.0,2019-12-12 20:05:43
-G7Zkl1wIWBBmD0KRy_sCw,eln6se9XC_bYYDzQwb102A,4.0,2018-11-02 14:28:51
-G7Zkl1wIWBBmD0KRy_sCw,evbpaGxJULlu_QAnUV7oXg,4.0,2020-03-15 19:17:01
-G7Zkl1wIWBBmD0KRy_sCw,fN17POyxijqDNBBe2UGZkA,4.0,2016-03-14 02:36:33
-G7Zkl1wIWBBmD0KRy_sCw,fhprRgtBPIr0lxKv9PMVhA,4.0,2019-03-12 16:44:34
-G7Zkl1wIWBBmD0KRy_sCw,fwIhAbiaJBuJnt90mZSTBA,3.0,2017-03-29 19:50:31
-G7Zkl1wIWBBmD0KRy_sCw,gK9CdFaCXmHoW8aLfXiSqg,5.0,2017-02-25 14:56:28
-G7Zkl1wIWBBmD0KRy_sCw,hA03QM1dEu5DLU0TB9rx4g,3.0,2017-02-17 13:08:39
-G7Zkl1wIWBBmD0KRy_sCw,hlS7wJQ650VrIZ1X0O2iOA,3.0,2018-12-06 18:35:10
-G7Zkl1wIWBBmD0KRy_sCw,iCVrRHR_Yxr6mHCpObnE1g,4.0,2016-06-28 11:37:26
-G7Zkl1wIWBBmD0KRy_sCw,iMw_LReFjEsvhFGrU1EKqQ,4.0,2017-10-27 18:06:53
-G7Zkl1wIWBBmD0KRy_sCw,iZ9fg8Dm3SsHa5BqXktGtw,2.0,2020-02-24 17:06:20
-G7Zkl1wIWBBmD0KRy_sCw,jGgUfiMg0_a6ehbz_ucDkQ,3.0,2016-04-14 14:02:48
-G7Zkl1wIWBBmD0KRy_sCw,k5ODiSuPem4rHsBgi-iCSA,4.0,2015-05-29 16:38:13
-G7Zkl1wIWBBmD0KRy_sCw,k9CwhDTFoInTVUvmvYKZPg,4.0,2020-10-27 01:00:52
-G7Zkl1wIWBBmD0KRy_sCw,kQRB8RNwd7cEMcURTS-I7A,2.0,2020-02-16 17:01:11
-G7Zkl1wIWBBmD0KRy_sCw,kjIyHGVbVpQYK_UzetPShg,5.0,2017-04-03 16:44:47
-G7Zkl1wIWBBmD0KRy_sCw,kxX2SOes4o-D3ZQBkiMRfA,5.0,2017-04-28 13:32:57
-G7Zkl1wIWBBmD0KRy_sCw,mOk3D7VczrDapNuUgLxUQw,4.0,2019-12-29 23:28:18
-G7Zkl1wIWBBmD0KRy_sCw,nGOYzNwIjWBufuaW4kEvUw,5.0,2019-10-22 15:56:33
-G7Zkl1wIWBBmD0KRy_sCw,nTkJq7iDAcPyoe2zP5NhyA,4.0,2016-05-02 19:22:35
-G7Zkl1wIWBBmD0KRy_sCw,qDEcJ48kXdWxQGZefgG94w,5.0,2021-11-15 00:22:22
-G7Zkl1wIWBBmD0KRy_sCw,rDh6j39BYX4IL9RSZDGs2A,3.0,2016-04-16 15:25:04
-G7Zkl1wIWBBmD0KRy_sCw,s9ceDy-cVHe0uzvZpWq87Q,4.0,2013-10-11 17:01:52
-G7Zkl1wIWBBmD0KRy_sCw,sf-KdXHB5nxfNjl2uUpI6Q,5.0,2016-02-15 20:26:53
-G7Zkl1wIWBBmD0KRy_sCw,tUkv0ZxUAdpyv8qhgRU5TA,3.0,2019-08-24 23:54:39
-G7Zkl1wIWBBmD0KRy_sCw,uIlFxzyoJy7ud9j12aK7MA,4.0,2020-02-01 00:51:55
-G7Zkl1wIWBBmD0KRy_sCw,uP42QDUxC2lxz15BUDbFnA,4.0,2018-12-23 16:20:50
-G7Zkl1wIWBBmD0KRy_sCw,up5Czl7yXI1LpZ_6Ys2Ahw,5.0,2020-10-25 15:45:48
-G7Zkl1wIWBBmD0KRy_sCw,vgNNwYjdZ_waBvgUcwtefA,3.0,2019-01-04 18:16:14
-G7Zkl1wIWBBmD0KRy_sCw,we1k41J13buaXeLrPlYFyg,3.0,2018-07-09 15:50:43
-G7Zkl1wIWBBmD0KRy_sCw,yYwZWTgSoweD0YNh2p9QRw,3.0,2022-01-01 15:36:12
-G7Zkl1wIWBBmD0KRy_sCw,ynOYkpRAQIEGI-GGTByBKA,3.0,2017-12-04 17:24:15
-G7Zkl1wIWBBmD0KRy_sCw,z5GlwQqwr4H8ruCjpnE_BA,3.0,2019-10-15 20:40:39
-G7Zkl1wIWBBmD0KRy_sCw,zJoT9gFvGtZAhbdcIF4Xmw,3.0,2017-03-13 16:27:29
-GlcLdmC44mF-5xQfLbLvw,rTXNiH-RROF1OQHVIn5qJQ,5.0,2014-03-12 15:12:26
-GowNe73gDZs9MfS3ugJDQ,e1l1IlKpL7FJlM4ivnoO2g,5.0,2018-12-10 16:45:59
-GowNe73gDZs9MfS3ugJDQ,gltppHhVxJN9ETmQM6BFxg,4.0,2017-08-07 20:51:20
-Ixl2LZt_uy3A2Jp9-MEKg,VVH6k9-ycttH3TV_lk5WfQ,1.0,2017-05-06 23:18:17
-NDurCQ1u3CbUd05M7MaIA,zSDqW5cZq9Bg7O9vMpJ6Tg,5.0,2015-10-15 03:23:22
-NbeVN5tnwdyYAvdNkKMjw,PP3BBaVxZLcJU54uP_wL6Q,3.0,2016-06-03 03:46:51
-NbeVN5tnwdyYAvdNkKMjw,U2y7fsqDgxAXskoJNVxbwg,4.0,2016-06-25 11:41:46
-NycZLw5rPxqwrkKKI-83w,pKONQc8eYlnF0L54YpJdQQ,4.0,2019-10-07 03:34:36
-OZPBHH7RzyPIai4AlPWKA,6OC8ErU_m06KABnfSXTJEA,5.0,2015-08-11 18:19:58
-OZPBHH7RzyPIai4AlPWKA,K7KHmHzxNwzqiijSJeKe_A,5.0,2014-08-18 15:15:43
-OZPBHH7RzyPIai4AlPWKA,QWqKTWQ2OiDgo3dzNkpung,5.0,2014-06-15 22:31:10
-OZPBHH7RzyPIai4AlPWKA,dXYmCOVFSsKBkRq_0-tIaw,5.0,2014-04-23 23:56:31
-OZPBHH7RzyPIai4AlPWKA,iUZEGx29miZObLd6_lt7Vg,5.0,2014-11-20 23:06:00
-SO_K8oLVH_9J23z2MtjGg,O0r7Ocj9XmXvwm8p4I4Nqw,4.0,2017-04-03 03:13:13
-SO_K8oLVH_9J23z2MtjGg,e-fXMT8R3j7BKMTh8xn8aw,5.0,2017-11-24 17:55:31
-SigNCNItQDtSq27j0t_tw,e_MDOxwYA6b8XThonDDI_g,2.0,2014-11-30 23:31:48
-TBFZ48Er0nXjSZpG4BmBA,SBtjW_pKw3XaOKtKAavWZg,5.0,2018-09-18 04:19:18
-THLGnsYKu3yQAsy_tt1fw,ipZ7neK1bjBAUrCqyCvB_Q,2.0,2013-05-14 23:53:49
-TLXQfY2lZ6DVWQj4BosxQ,KHe6HAqmyioITwTvg9Bbcg,4.0,2015-10-19 15:46:58
-TdnnNdi7xAW-xR7lcEXXQ,eoN0GAIRV0WmwUm7FmzKgQ,5.0,2016-03-09 05:52:26
-V7frksbFjKQYVhrPnnlPw,0vi741BLMGl2QPeTXWeG2w,4.0,2015-12-22 20:00:54
-VOCFO1QSCjAxl_0LIrZ9Q,K7KHmHzxNwzqiijSJeKe_A,5.0,2018-01-02 01:20:48
-YAXThScggsREXhutAHkAA,6-5hbU746kMNgim0YOOg6w,3.0,2021-09-05 19:03:13
-YAXThScggsREXhutAHkAA,ei7oceWOL-u1hXsraus7ng,4.0,2021-04-02 00:42:07
-YAXThScggsREXhutAHkAA,jL251AHFcygyUEfAAF3h2Q,4.0,2021-09-05 17:02:14
-ZYBcGGfcm6EZo4ABH2jcA,OR7VJQ3Nk1wCcIbPN4TCQQ,5.0,2020-10-08 15:16:04
-_Lfm5bztNCYXaBmrqY7tA,2HxkdqHmbYGj_BH1bLaiSw,5.0,2016-07-24 22:58:55
-__Mk4KYnfGnyYEi9NKfPg,0jpFptAehZhLl3nkhHDanA,4.0,2018-09-12 05:28:30
-__Mk4KYnfGnyYEi9NKfPg,8_r9EZL6vX5fPBoVh3gUrA,4.0,2018-09-13 20:35:15
-__Mk4KYnfGnyYEi9NKfPg,KelJcIYD7uOzQ2lIrVZpUA,4.0,2021-11-18 16:30:23
-atOO0PvfIN8GTX5K-kdgQ,Nhci37qY0HPCNWc5UQul9w,3.0,2017-06-02 02:30:22
-cX6CW0hntz6LUF-nJsOUQ,6Aa0t9YWJNknGP9tHWmG5Q,5.0,2015-05-11 18:58:58
-cbyeeELqS0YdOLSEhUKEw,WrZaL6BxHqVqt3sAcJ-5Rg,5.0,2021-06-10 14:07:59
-crYXMtwfUdACKUiyA1eqA,oBNrLz4EDhiscSlbOl8uAw,4.0,2011-05-09 02:24:47
-dbvRNHhBPs4eXhu2k0_xA,dYYkzkiAQoOtRjdR0kcspw,5.0,2018-12-18 09:57:33
-dnERQYQCDVZFMMuh7bBDg,LtLbT776NOAjva1ttA2h3w,4.0,2016-09-28 03:16:50
-dnERQYQCDVZFMMuh7bBDg,kZ1q0K13tFYG_ZJrVvsJHA,5.0,2017-05-22 00:56:34
-exvXUUTiQeHhtvpzhKq7A,GXFMD0Z4jEVZBCsbPf4CTQ,4.0,2018-10-28 02:34:43
-exvXUUTiQeHhtvpzhKq7A,WY7Umhuv9jcQ6fOoOFa4lQ,5.0,2018-11-12 03:27:45
-exvXUUTiQeHhtvpzhKq7A,pIvX_Kw4f82baMUhRO6WxQ,5.0,2018-10-31 00:02:03
-fnNvqHxi1xuIrMEp_xiTw,8A5LSwsKK5vXDH1M3_Tf1w,1.0,2020-08-25 19:20:59
-gCzk8T456FFJpHo2DKJbg,3WC9HidyqFisiDxP1dcFCA,5.0,2019-05-15 20:22:04
-gqZly_I4PBDPnrt7tnqSQ,RfeNJDEt0AV9gPab9-A17Q,3.0,2016-11-08 01:57:42
-hnRXNqY9bccnMlc87elZg,8_r9EZL6vX5fPBoVh3gUrA,4.0,2020-03-24 06:14:18
-iNN4s230lAs9fZTBtx1Tg,f3eve2cxUIzyanWnHdMtFQ,5.0,2021-12-24 15:56:09
-iNN4s230lAs9fZTBtx1Tg,s4k1P9FHfPUzw3dqXRp7eA,3.0,2021-12-24 02:00:10
-ibb_cZiaht_DjkIqDUF_Q,ee-2Z5tuo9bUbe9ZDgNgbQ,3.0,2016-06-04 13:11:45
-iidloktekXhKlhoyYFgTw,16zHT7zp6K9IEQZ1oW6xXg,2.0,2014-11-28 20:01:30
-j_XG8sSIxT7cDPWl47gNg,IAgeKx3Z3_JqMjcAOCy2dQ,1.0,2012-09-24 23:34:58
-k-pB4kluJwRF4-c2gp3pA,-FM4CxOg4XXmX_Ebky_SiQ,1.0,2017-06-27 20:53:59
-kLVfaJytOJY2-QdQoCcNQ,-81BXpO5Fuk-RqCabS7LMw,5.0,2017-10-13 12:28:31
-kLVfaJytOJY2-QdQoCcNQ,0ZsqqzHu1HHkDdIKoivi5g,4.0,2017-07-29 13:29:08
-kLVfaJytOJY2-QdQoCcNQ,1ymFs_vuos2IsTvWAvQv5Q,5.0,2018-06-05 13:26:00
-kLVfaJytOJY2-QdQoCcNQ,2KIDQyTh-HzLxOUEDqtDBg,5.0,2019-07-31 13:32:56
-kLVfaJytOJY2-QdQoCcNQ,2oh4NJDtqTUO5ZuvCe0hWw,5.0,2018-03-16 16:42:13
-kLVfaJytOJY2-QdQoCcNQ,33zxFqIOe6Yg8qPXKkhUjg,5.0,2017-04-25 12:25:03
-kLVfaJytOJY2-QdQoCcNQ,4gszBjoouIzfi1ltSQZ2BQ,5.0,2019-08-16 17:12:58
-kLVfaJytOJY2-QdQoCcNQ,8m3-Xrqr2dkF-lLz5H1ZrA,5.0,2021-02-07 19:14:54
